Product,Segment,TCSS,AT_Site,Division,Package_Tech,Chip_Attach,Tester_Platform,Cycle,Phase,WW,Comment
Product A01S,S-D,3-A,VNAT,D-C,FCLGA,Legacy-T,New-H,Apr_21,TFC,202549,
Product 81S,S-D,1-D,VNAT,D-C,FCLGA,Legacy-T,New-H,Apr_21,MapDay,202416,correct the info
Product 81S,S-D,1-D,VNAT,D-C,FCLGA,Legacy-T,New-H,Apr_21,PO,202115,Support by other site
Product 81S,S-D,1-D,VNAT,D-C,FCLGA,Legacy-T,New-H,Apr_21,ES,202330,Support by other site
Product 81S,S-D,1-D,VNAT,D-C,FCLGA,Legacy-T,New-H,Apr_21,QS,202036,
Product 81S,S-D,1-D,VNAT,D-C,FCLGA,Legacy-T,New-H,Apr_21,PRQ,202049,
Product 81S,S-D,1-D,VNAT,D-C,FCLGA,Legacy-T,New-H,Apr_21,TFC,202348,
Product A82M,S-M,1-D,VNAT,D-C,FCBGA,Legacy-T,New-H,Mar_21,QS,202312,
Product A82M,S-M,1-D,VNAT,D-C,FCBGA,Legacy-T,New-H,Mar_21,PRQ,202612,
Product A81N,SOC,Not yet define,VNAT,D-I,FCBGA,New-H,Old-V,Mar_21,PO,202537,
Product A81N,SOC,Not yet define,VNAT,D-I,FCBGA,New-H,Old-V,Mar_21,ES,202747,
Product A81N,SOC,Not yet define,VNAT,D-I,FCBGA,New-H,Old-V,Mar_21,PRQ,202310,
Product A82P,S-M,1-A,VNAT,D-C,FCBGA,Legacy-T,New-H,Mar_21,PO,202317,
Product A82P,S-M,1-A,VNAT,D-C,FCBGA,Legacy-T,New-H,Mar_21,QS,202218,
Product A82P,S-M,1-A,VNAT,D-C,FCBGA,Legacy-T,New-H,Mar_21,PRQ,202432,
Product A82PVN,S-M,1-D,VNAT,D-C,FCBGA,Legacy-T,New-H,Mar_21,PO,202319,
Product A82PVN,S-M,1-D,VNAT,D-C,FCBGA,Legacy-T,New-H,Mar_21,QS,202244,
Product A82PVN,S-M,1-D,VNAT,D-C,FCBGA,Legacy-T,New-H,Mar_21,PRQ,202347,
Product AONE,S-P,1-A,VNAT,D-C,FCBGA,New-H,Old-V,Mar_21,PO,202225,
Product AONE,S-P,1-A,VNAT,D-C,FCBGA,New-H,Old-V,Mar_21,QS,202451,
Product AONE,S-P,1-A,VNAT,D-C,FCBGA,New-H,Old-V,Mar_21,PRQ,202752,
Product A01S,S-D,3-A,VNAT,D-C,FCLGA,Legacy-T,New-H,Mar_21,PO,202115,
Product A01S,S-D,3-A,VNAT,D-C,FCLGA,Legacy-T,New-H,Mar_21,ES,202228,
Product A01S,S-D,3-A,VNAT,D-C,FCLGA,Legacy-T,New-H,Mar_21,QS,202332,
Product A01S,S-D,3-A,VNAT,D-C,FCLGA,Legacy-T,New-H,Mar_21,PRQ,202647,
Product 81S,S-D,1-D,VNAT,D-C,FCLGA,Legacy-T,New-H,Mar_21,PO,202543,
Product 81S,S-D,1-D,VNAT,D-C,FCLGA,Legacy-T,New-H,Mar_21,ES,202119,
Product 81S,S-D,1-D,VNAT,D-C,FCLGA,Legacy-T,New-H,Mar_21,QS,202320,
Product 81S,S-D,1-D,VNAT,D-C,FCLGA,Legacy-T,New-H,Mar_21,PRQ,202447,
